PARLIAMENTARY_CONSTITUENCY_CODE,STATE,,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P102,SELANGOR,,BANGI,PH,PH - DAP
P103,SELANGOR,,PUCHONG,PH,PH - DAP
P104,SELANGOR,,SUBANG,PH,PH - PKR
P105,SELANGOR,,PETALING JAYA,PH,PH - PKR
P106,SELANGOR,,DAMANSARA,PH,PH - DAP
P107,SELANGOR,,SUNGAI BULOH,PH,PH - PKR
P108,SELANGOR,,SHAH ALAM,PH,PH - AMANAH
P109,SELANGOR,,KAPAR,PH,PH - PKR
P110,SELANGOR,,KLANG,PH,PH - DAP
P111,SELANGOR,,KOTA RAJA,PH,PH - AMANAH
P112,SELANGOR,,KUALA LANGAT,PH,PH - PKR
P113,SELANGOR,,SEPANG,PH,PH - AMANAH
P114,WILAYAH PERSEKUTUAN KUALA LUMPUR,,KEPONG,PH,PH - DAP
P115,WILAYAH PERSEKUTUAN KUALA LUMPUR,,BATU,INDEPENDENT,INDEPENDENT - KEY
P116,WILAYAH PERSEKUTUAN KUALA LUMPUR,,WANGSA MAJU,PH,PH - PKR
P117,WILAYAH PERSEKUTUAN KUALA LUMPUR,,SEGAMBUT,PH,PH - DAP
P118,WILAYAH PERSEKUTUAN KUALA LUMPUR,,SETIAWANGSA,PH,PH - PKR
P119,WILAYAH PERSEKUTUAN KUALA LUMPUR,,TITIWANGSA,PH,PH - PPBM
P120,WILAYAH PERSEKUTUAN KUALA LUMPUR,,BUKIT BINTANG,PH,PH - DAP
P121,WILAYAH PERSEKUTUAN KUALA LUMPUR,,LEMBAH PANTAI,PH,PH - PKR
P122,WILAYAH PERSEKUTUAN KUALA LUMPUR,,SEPUTEH,PH,PH - DAP
P123,WILAYAH PERSEKUTUAN KUALA LUMPUR,,CHERAS,PH,PH - DAP
P124,WILAYAH PERSEKUTUAN KUALA LUMPUR,,BANDAR TUN RAZAK,PH,PH - PKR
P125,WILAYAH PERSEKUTUAN PUTRAJAYA,,PUTRAJAYA,BN,BN - UMNO
P126,NEGERI SEMBILAN,,JELEBU,BN,BN - UMNO
P127,NEGERI SEMBILAN,,JEMPOL,BN,BN - UMNO
P128,NEGERI SEMBILAN,,SEREMBAN,PH,PH - DAP
P129,NEGERI SEMBILAN,,KUALA PILAH,PH,PH - PPBM
P130,NEGERI SEMBILAN,,RASAH,PH,PH - DAP
P131,NEGERI SEMBILAN,,REMBAU,BN,BN - UMNO
P132,NEGERI SEMBILAN,,PORT DICKSON,PH,PH - PKR
P133,NEGERI SEMBILAN,,TAMPIN,PH,PH - AMANAH
P134,MELAKA,,MASJID TANAH,BN,BN - UMNO
P135,MELAKA,,ALOR GAJAH,PH,PH - PPBM
P136,MELAKA,,TANGGA BATU,PH,PH - PKR
P137,MELAKA,,HANG TUAH JAYA,PH,PH - PKR
P138,MELAKA,,KOTA MELAKA,PH,PH - DAP
P139,MELAKA,,JASIN,BN,BN - UMNO
P140,JOHOR,,SEGAMAT,PH,PH - PKR
P141,JOHOR,,SEKIJANG,PH,PH - PKR
P142,JOHOR,,LABIS,PH,PH - DAP
P143,JOHOR,,PAGOH,PH,PH - PPBM
P144,JOHOR,,LEDANG,PH,PH - PKR
P145,JOHOR,,BAKRI,PH,PH - DAP
P146,JOHOR,,MUAR,PH,PH - PPBM
P147,JOHOR,,PARIT SULONG,BN,BN - UMNO
P148,JOHOR,,AYER HITAM,BN,BN - MCA
P149,JOHOR,,SRI GADING,PH,PH - PPBM
P150,JOHOR,,BATU PAHAT,PH,PH - PKR
P151,JOHOR,,SIMPANG RENGGAM,PH,PH - PPBM
P152,JOHOR,,KLUANG,PH,PH - DAP
P153,JOHOR,,SEMBRONG,BN,BN - UMNO
P154,JOHOR,,MERSING,BN,BN - UMNO
P155,JOHOR,,TENGGARA,BN,BN - UMNO
P156,JOHOR,,KOTA TINGGI,BN,BN - UMNO
P157,JOHOR,,PENGERANG,BN,BN - UMNO
P158,JOHOR,,TEBRAU,PH,PH - PKR
P159,JOHOR,,PASIR GUDANG,PH,PH - PKR
P160,JOHOR,,JOHOR BAHRU,PH,PH - PKR
P161,JOHOR,,PULAI,PH,PH - AMANAH
P162,JOHOR,,ISKANDAR PUTERI,PH,PH - DAP
P163,JOHOR,,KULAI,PH,PH - DAP
P164,JOHOR,,PONTIAN,BN,BN - UMNO
P165,JOHOR,,TANJUNG PIAI,PH,PH - PPBM
P166,WILAYAH PERSEKUTUAN LABUAN,,LABUAN,BN,BN - UMNO
P167,SABAH,,KUDAT,BN,BN - UMNO
P168,SABAH,,KOTA MARUDU,BN,BN - PBS
P169,SABAH,,KOTA BELUD,WARISAN,WARISAN
P170,SABAH,,TUARAN,BN,BN - UPKO
P171,SABAH,,SEPANGGAR,WARISAN,WARISAN
P172,SABAH,,KOTA KINABALU,PH,PH - DAP
P173,SABAH,,PUTATAN,PH,PH - PKR
P174,SABAH,,PENAMPANG,WARISAN,WARISAN
P175,SABAH,,PAPAR,WARISAN,WARISAN
P176,SABAH,,KIMANIS,BN,BN - UMNO
P177,SABAH,,BEAUFORT,BN,BN - UMNO
P178,SABAH,,SIPITANG,BN,BN - UMNO
P179,SABAH,,RANAU,PH,PH - PKR
P180,SABAH,,KENINGAU,GSABAH,GSABAH - STAR
P181,SABAH,,TENOM,PH,PH - DAP
P182,SABAH,,PENSIANGAN,BN,BN - PBRS
P183,SABAH,,BELURAN,BN,BN - UMNO
P184,SABAH,,LIBARAN,BN,BN - UMNO
P185,SABAH,,BATU SAPI,WARISAN,WARISAN
P186,SABAH,,SANDAKAN,PH,PH - DAP
P187,SABAH,,KINABATANGAN,BN,BN - UMNO
P188,SABAH,,SILAM,WARISAN,WARISAN
P189,SABAH,,SEMPORNA,WARISAN,WARISAN
P190,SABAH,,TAWAU,PH,PH - PKR
P191,SABAH,,KALABAKAN,WARISAN,WARISAN
P192,SARAWAK,,MAS GADING,PH,PH - DAP
P193,SARAWAK,,SANTUBONG,BN,BN - PBB
P194,SARAWAK,,PETRA JAYA,BN,BN - PBB
P195,SARAWAK,,BANDAR KUCHING,PH,PH - DAP
P196,SARAWAK,,STAMPIN,PH,PH - DAP
P197,SARAWAK,,KOTA SAMARAHAN,BN,BN - PBB
P198,SARAWAK,,PUNCAK BORNEO,PH,PH - PKR
P199,SARAWAK,,SERIAN,BN,BN - SUPP
P200,SARAWAK,,BATANG SADONG,BN,BN - PBB
P201,SARAWAK,,BATANG LUPAR,BN,BN - PBB
P202,SARAWAK,,SRI AMAN,BN,BN - PRS
P203,SARAWAK,,LUBOK ANTU,INDEPENDENT,INDEPENDENT - KEY
P204,SARAWAK,,BETONG,BN,BN - PBB
P205,SARAWAK,,SARATOK,PH,PH - PKR
P206,SARAWAK,,TANJONG MANIS,BN,BN - PBB
P207,SARAWAK,,IGAN,BN,BN - PBB
P208,SARAWAK,,SARIKEI,PH,PH - DAP
P209,SARAWAK,,JULAU,INDEPENDENT,INDEPENDENT - CHAIR
P210,SARAWAK,,KANOWIT,BN,BN - PRS
P211,SARAWAK,,LANANG,PH,PH - DAP
P212,SARAWAK,,SIBU,PH,PH - DAP
P213,SARAWAK,,MUKAH,BN,BN - PBB
P214,SARAWAK,,SELANGAU,PH,PH - PKR
P215,SARAWAK,,KAPIT,BN,BN - PBB
P216,SARAWAK,,HULU RAJANG,BN,BN - PRS
P217,SARAWAK,,BINTULU,BN,BN - PDP
P218,SARAWAK,,SIBUTI,BN,BN - PBB
P219,SARAWAK,,MIRI,PH,PH - PKR
P220,SARAWAK,,BARAM,BN,BN - PDP
P221,SARAWAK,,LIMBANG,BN,BN - PBB
P222,SARAWAK,,LAWAS,BN,BN - PBB
